art_id,art_name,art_name_uri,art_name_first,art_name_nick,art_name_last,art_name_group,art_year_birth,art_place_birth,art_year_death,art_place_death,art_place_living_working,art_nationality,art_area,art_bio,art_image,art_url
1,Andrzej Czeczot,https://www.wikidata.org/entity/Q9151840,Andrzej,,Czeczot,,1933,,2012,,,Poland,Europe,,,
2,Andrzej Dudziński,https://www.wikidata.org/entity/Q9151917,Andrzej,Dudi,Dudziński,,1945,,2023,,,Poland,Europe,,,
3,Anna Galuszka,https://www.wikidata.org/entity/Q99604956,Anna,,Gałuszka,,,,,,,Poland,Europe,,,
4,Adrian Buschmann,,Adrian,,Buschmann,,1976,Katowice,,,,Poland,Europe,,,
5,Adriana Marmorek,https://www.wikidata.org/entity/Q51169979,Adriana,,Marmorek,,1969,,,,Bogotá,Colombia,America (South),,,
6,AESOP,,,,,AESOP Association of European Schools of Planning,,,,,Saint Petersburg,Russia,Europe,,,
7,Ahn In-Kun,,Ahn,,In-Kun,,,,,,,South Korea,Asia,,,
8,Aids Hilfe Moskau,,,,,Aids Hilfe Moskau,,,,,Moscow,Russia,Europe,,,
9,Alan Kline,https://www.wikidata.org/entity/Q108055000,Alan,,Kline,,,,,,,,Europe,,,
10,Albert Pall,,Albert,,Pall,,1959,Zell am See,,,Graz,Austria,Europe,,,
11,Alberto López Meza,,Alberto,,López Meza,,,,,,,Nicaragua,America (Central),,,
12,Alena Baich,https://www.wikidata.org/entity/Q111710824,Alena,,Baich,,1973,Graz,,,Vienna,Austria,Europe,,,
13,Aleš Zemene,,Aleš,,Zemene,,1968,,,,Prague,Czech Republic,Europe,,,
14,Alex Klein,,Alex,,Klein,,1960,Vienna,,,Vienna,Austria,Europe,,,
15,Alexander Kazakov,,Alexander,,Kazakov,,,,,,Moscow,Russia,Europe,,,
16,Alexander Liaschenko Petljura,,Alexander,,Petljura,,1955,Moscow,,,Moscow,Russia,Europe,,,
17,Aleksandr Belenson,https://www.wikidata.org/entity/Q21843495,Alexander,,Lugin,,,,,,Moscow,Russia,Europe,,,
18,Alexander Petrelli,,Alexander,,Petrelli,,1968,Odessa,,,Moscow,Russia,Europe,,,
19,Alexandra Riewe,,Alexandra,,Riewe,,1962,Vienna,,,,Austria,Europe,,,
20,Alfred Grasselli,,Alfred,,Grasselli,,1954,Vienna,,,Vienna,Austria,Europe,,,
21,Alfred Lang,,Alfred,,Lang,,1968,,,,,Austria,Europe,,,
22,Alfredo Gómez,,Alfredo,,Gómez,,,,,,,Colombia,America (South),,,
23,Ambra Polidori,https://www.wikidata.org/entity/Q4741702,Ambra,,Polidori,,1954,Mexico City,,,,Mexico,America (North),,,
24,amici delle SVA (Robert Blazek),,Robert,,Blazek,amici delle SVA,,,,,,Austria,Europe,,,
25,An Chi-In,,An,,Chi-In,,,,,,,South Korea,Asia,,,
26,An Moon-Shik,,An,,Moon-Shik,,,,,,,South Korea,Asia,,,
27,Anchelka Mazur,,Anchelka,,Mazur,,,,,,,Austria,Europe,,,
28,Andi Strauss,,Andi,,Strauss,,1968,,,,Linz,Austria,Europe,,,
29,André Tschinder,,André,,Tschinder,,1977,Schwetzingen (D),,,,,Europe,,,
30,Andrea Baumann,,Andrea,,Baumann,,1961,Lohr (D),,,Innsbruck,,Europe,,,
31,Andrea Di Castro,,Andrea,,Di Castro,,,,,,,,,,,
32,Andrea Schlemmer,https://www.wikidata.org/entity/Q495023,Andrea,,Schlemmer,,1971,Graz,,,,Austria,Europe,,,
33,Andrea Sodomka,https://www.wikidata.org/entity/Q63211062,Andrea,,Sodomka,,1961,Vienna,,,Vienna,Austria,Europe,,,
34,Andrea Speetgens,,Andrea,,Speetgens,,,,,,,Austria,Europe,,,
35,Andreas Gasser,https://www.wikidata.org/entity/Q130777805,Andreas,,Gasser,,,,,,,,,,,
36,Andreas Klöckl,,Andreas,,Klöckl,,1968,Graz,,,,Austria,Europe,,,
37,Andreas Kurz,,Andreas,,Kurz,,1978,Passau (D),,,,,Europe,,,
38,Andreas Platzer,,Andreas,,Platzer,,,,,,,,,,,
39,Andreas Spiegl,,Andreas,,Spiegl,,,,,,,,,,,
40,Andreas Unterweger,,Andreas,,Unterweger,,,,,,,,,,,
41,Andreij Kislij,,Andreij,,Kislij,,,,,,,,,,,
42,Anette Sense,,Anette,,Sense,,,,,,,,,,,
43,Angá de la Luz,,Angá,,de la Luz,,,,,,,,,,,
44,Angélica Rodríguez,,Angélica,,Rodríguez,,,,,,,,,,,
45,Angelika Thon,https://www.wikidata.org/entity/Q99499368,Angelika,,Thon,,1957,Graz,,,Graz,Austria,Europe,,,
46,Anita Hofer,,Anita,,Hofer,,1962,,,,Graz,Austria,Europe,,,
47,Anita Witek,,Anita,,Witek,,,,,,,,,,,
48,Anja Wiese,,Anja,,Wiese,,,,,,,,,,,
49,Anne Schmees,,Anne,,Schmees,,,,,,,,,,,
50,Annelie Gahl,https://www.wikidata.org/entity/Q98514894,Annelie,,Gahl,,,,,,,,,,,
51,Annette Giesriegl,https://www.wikidata.org/entity/Q116612372,Annette,,Giesriegl,,,,,,,,,,,
52,anschlaege,,,,,anschlaege,,,,,,,,,,
53,Antal Lakner,https://www.wikidata.org/entity/Q130371134,Antal,,Lakner,,,,,,,,,,,
54,Anton Čierny,https://www.wikidata.org/entity/Q112452555,Anton,,Cierny,,,,,,,,,,,
55,Anton Lederer,,Anton,,Lederer,,,,,,,,,,,
56,Anton Tkachenko,https://www.wikidata.org/entity/Q61153987,Anton,,Tkachenko,,,,,,,,,,,
57,Antonia Guerrero,https://www.wikidata.org/entity/Q135355239,Antonia,,Guerrero,,,,,,,,,,,
58,Antonio Albanés,,Antonio,,Albanés,,,,,,,,,,,
59,Aristarch Tscherneschov,,Aristarch,,Tscherneschov,,,,,,,,,,,
60,Armando Montoya,,Armando,,Montoya,,,,,,,Colombia,America (South),,,
61,Armin Pokorn,https://www.wikidata.org/entity/Q134635715,Armin,,Pokorn,,,,,,,,,,,
62,Arsenije Jovanovic,,Arsenije,,Jovanovic,,,,,,,,,,,
63,Assunta Abd El Azim Mohamed,,Assunta,,Abd El Azim Mohamed,,,,,,,,,,,
64,Azra Aksamija,https://www.wikidata.org/entity/Q4832884,Azra,,Aksamija,,,,,,,,,,,
65,Bogusław Balicki,https://www.wikidata.org/entity/Q97497602,Bogusław,,Balicki,,,,,,,Poland,Europe,,,
66,Bogdan Bartkowski,,Bogdan,,Bartkowski,,,,,,,Poland,Europe,,,
67,Baik Kum-Nam,,Baik,,Kum-Nam,,,,,,,,,,,
68,"Bananeros/as de Chinandega (Familia López Meza, Familia Morales, Jerónimo Lira, Francisco González y otros más)",,,,,"Bananeros/as de Chinandega (Familia López Meza, Familia Morales, Jerónimo Lira, Francisco González y otros más)",,,,,,,,,,
69,Barbara Musil,https://www.wikidata.org/entity/Q114828336,Barbara,,Musil,,,,,,,,,,,
70,Barbara Schmette,,Barbara,,Schmette,,,,,,,,,,,
71,Barbara Teubl,,Barbara,,Teubl,,,,,,,,,,,
72,Barbara Waschmann,https://www.wikidata.org/entity/Q133750038,Barbara,,Waschmann,,,,,,,,,,,
73,Bastian Schwind,https://www.wikidata.org/entity/Q133106005,Bastian,,Schwind,,,,,,,,,,,
74,bb15,,,,,bb15,,,,,,,,,,
75,Beate Schachinger,https://www.wikidata.org/entity/Q99506184,Beate,,Schachinger,,,,,,,,,,,
76,Beatriz Franco,https://www.wikidata.org/entity/Q101041599,Beatriz,,Franco,,,,,,,Colombia,America (South),,,
77,Benjamin Klug,https://www.wikidata.org/entity/Q95222464,Benjamin,,Klug,,,,,,,,,,,
78,Bernadette Richard,https://www.wikidata.org/entity/Q106748955,Bernadette,,Moser,,,,,,,,,,,
79,Bernd Oppel,,Bernd,,Oppel,,,,,,,,,,,
80,Berndt Luef,https://www.wikidata.org/entity/Q824495,Berndt,,Luef,,1952,Knittelfeld,,,,Austria,Europe,,,
81,Bernhard Breuer,,Bernhard,,Breuer,,,,,,,,,,,
82,Bernhard Hammer,,Bernhard,,Hammer,,,,,,,,,,,
